,count,mean,median,std,variance,min,25%,50%,75%,max,range,IQR,skewness,kurtosis
City,66.0,0.4393939393939394,0.0,0.5001165365357859,0.25011655011655004,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.24994174530970656,-1.9990680335507922
Profile_Type,66.0,0.5606060606060606,1.0,0.5001165365357859,0.2501165501165501,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.24994174530970623,-1.9990680335507924
Time_Hour,66.0,12.358939393939393,15.0,3.0864837493063093,9.526381934731933,8.17,8.17,15.0,15.0,15.0,6.83,6.83,-0.3956981284580806,-1.743824512886083
Temp_C,66.0,30.36818181818182,29.4,1.4688728374462556,2.1575874125874144,29.0,29.0,29.4,31.0,33.1,4.100000000000001,2.0,0.8340833108739149,-0.6262058598379499
Humidity_Pct,66.0,35.21969696969697,36.3,4.061876023444933,16.498836829836822,30.4,31.7,36.3,40.8,40.8,10.399999999999999,9.099999999999998,0.2581733453770221,-1.5115383291949656
Distance_m,66.0,112.57575757575758,50.0,119.60911472935635,14306.34032634033,0.0,20.0,50.0,190.0,390.0,390.0,170.0,0.9173403698803944,-0.5347839214089829
Circuit,66.0,1.1363636363636365,1.0,0.8573010177090862,0.734965034965035,0.0,0.0,1.0,2.0,2.0,2.0,2.0,-0.2696933378149493,-1.597764605456976
E_ICNIRP,66.0,10.694098484848485,11.560500000000001,5.87400419212266,34.50392524907459,0.1655,6.473450000000001,11.560500000000001,15.225999999999999,21.546,21.380499999999998,8.75255,-0.17396343568348233,-0.8635349883892078
H_ICNIRP,66.0,3.467362121212121,3.54095,1.50839651905491,2.27526005869697,0.5486,2.653025,3.54095,4.358499999999999,6.1479,5.5992999999999995,1.7054749999999994,-0.1910678276954961,-0.7129560575045155
