,Categorical Feature,Target Variable,F-statistic,p-value,Eta-squared,Significant
0,City,E_ICNIRP,1.3637263634297765,0.24722486199874114,0.020863656944025907,False
1,City,H_ICNIRP,14.01225397364329,0.00039116476024981134,0.1796160636299186,True
2,Profile_Type,E_ICNIRP,1.713875770591327,0.19516422748534237,0.026080880947800165,False
3,Profile_Type,H_ICNIRP,10.2294565494071,0.002149994756396628,0.1378085873846912,True
4,Circuit,E_ICNIRP,0.9641327356351677,0.38686779190754594,0.02969839802856837,False
5,Circuit,H_ICNIRP,6.973929276444905,0.0018366921135267258,0.18126376503775984,True
