,Model,Target,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R²,Test_R²,Test_Adj_R²,Test_MAPE,Test_Max_Error,CV_R²_Mean,CV_R²_Std,Training_Time
0,SVR,E_ICNIRP,4.302159031422986,5.700524972408956,3.0819716454788235,4.495678682577809,0.4707082741293279,-0.1120650454851635,,75.07741907645368,13.459788746666137,0.04687290876635095,0.27082061896396725,0.08177947998046875
1,SVR,H_ICNIRP,0.8888531608028727,1.169979862153082,0.4582632829546767,0.7777529403808469,0.6806053304708737,-0.27087236468238873,,19.812940724323198,3.0876087234942644,0.20359672411946161,0.8103805184390929,0.08095383644104004
2,Random Forest,E_ICNIRP,3.3220795430022516,5.58355906726976,2.5341214697954824,4.458341142205213,0.6843961894383743,-0.06689754238626278,,93.0191896158827,10.480553926190474,0.2589418955633594,0.1630267229039787,4.111375093460083
3,Random Forest,H_ICNIRP,0.7705648289511305,0.8028996395551947,0.5436003926874051,0.6731684297661998,0.759958690885273,0.40149513005931703,,17.822989126608647,1.4878940949735449,0.21671646643663073,0.5867824306092463,4.555408239364624
4,XGBoost,E_ICNIRP,3.1153533403127613,4.622889059664823,2.315398017934652,3.5205891753060476,0.7224528280171403,0.26864635907724055,,79.5187871162037,11.55958384399414,0.17287558628156455,0.2646490912897556,0.44182920455932617
5,XGBoost,H_ICNIRP,0.838595481154452,0.7078184695853375,0.6248275717075055,0.5589822487422398,0.7157027510283449,0.5348543709982374,,13.817779499109765,1.4661322265625003,0.24726583374018216,0.6341066385836104,0.38271641731262207
6,Neural Network,E_ICNIRP,4.804872308248921,6.72901199582368,3.9468289945695862,5.318083407951595,0.33978424237148297,-0.5495410650658199,,99.19993669565251,15.140172303735923,-0.33181496848826464,0.45242870017348635,0.8935160636901855
7,Neural Network,H_ICNIRP,1.5095649272596388,1.4297001447238786,1.2278020626016053,1.1705734016810605,0.07876333261900526,-0.8977328918192098,,29.771528119068304,3.257092186583431,-0.09909435582438006,0.5585199710335501,0.7839474678039551
